Summary,CVEs,Severity,Jfrog Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id,Component Physical Paths,Applicability
"node-tar is a full-featured Tar for Node.js. When using default options in versions 7.5.7 and below, an attacker-controlled archive can create a hardlink inside the extraction directory that points to a file outside the extraction root, enabling arbitrary file read and write as the extracting user. Severity is high because the primitive bypasses path protections and turns archive extraction into a direct filesystem access primitive. This issue has been fixed in version 7.5.8.",CVE-2026-26960,High,High,security,JFrog,tar,< 7.5.8,7.5.8,,tar,,7.1/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,CWE-22,XRAY-944085,false,npm://tar:4.4.19,npm://tar,sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/tar,Not Applicable
"node-tar,a Tar for Node.js, contains a vulnerability in versions prior to 7.5.7 where the security check for hardlink entries uses different path resolution semantics than the actual hardlink creation logic. This mismatch allows an attacker to craft a malicious TAR archive that bypasses path traversal protections and creates hardlinks to arbitrary files outside the extraction directory. Version 7.5.7 contains a fix for the issue.",CVE-2026-24842,High,High,security,JFrog,tar,< 7.5.7,7.5.7,,tar,,8.2/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:L/A:N,"CWE-22,CWE-59",XRAY-937480,false,npm://tar:4.4.19,npm://tar,sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/tar,Not Applicable
"The ip package through 2.0.1 for Node.js might allow SSRF because some IP addresses (such as 127.1, 01200034567, 012.1.2.3, 000:0:0000::01, and ::fFFf:127.0.0.1) are improperly categorized as globally routable via isPublic. NOTE: this issue exists because of an incomplete fix for CVE-2023-42282.",CVE-2024-29415,High,High,security,JFrog,ip,≤ 2.0.1,,,ip,,8.1/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-918,CWE-941",XRAY-604072,false,npm://ip:1.1.5,npm://ip,sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/ip,Not Applicable
"This affects versions of the package http-cache-semantics before 4.1.1. The issue can be exploited via malicious request header values sent to a server, when that server reads the cache policy from the request using this library.",CVE-2022-25881,High,High,security,JFrog,http-cache-semantics,< 4.1.1,4.1.1,2023-03-19T08:11:00Z,http-cache-semantics,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1333,XRAY-416411,false,npm://http-cache-semantics:3.8.1,npm://http-cache-semantics,sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/http-cache-semantics,Not Applicable
"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).",CVE-2022-24999,High,High,security,JFrog,qs,"< 6.2.4,6.10.0 ≤ Version < 6.10.3,6.3.0 ≤ Version < 6.3.3,6.4.0 ≤ Version < 6.4.1,6.5.0 ≤ Version < 6.5.3,6.6.0 ≤ Version < 6.6.1,6.7.0 ≤ Version < 6.7.3,6.8.0 ≤ Version < 6.8.3,6.9.0 ≤ Version < 6.9.7","6.10.3,6.2.4,6.3.3,6.4.1,6.5.3,6.6.1,6.7.3,6.8.3,6.9.7",2023-01-11T21:21:00Z,qs,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1321,XRAY-262099,false,npm://qs:6.5.1,npm://qs,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/qs,Not Applicable
"Moment.js is a JavaScript date library for parsing, validating, manipulating, and formatting dates. A path traversal vulnerability impacts npm (server) users of Moment.js between versions 1.0.1 and 2.29.1, especially if a user-provided locale string is directly used to switch moment locale. This problem is patched in 2.29.2, and the patch can be applied to all affected versions. As a workaround, sanitize the user-provided locale name before passing it to Moment.js.",CVE-2022-24785,High,High,security,JFrog,moment,< 2.29.2,2.29.2,2023-01-08T19:26:00Z,moment,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:N,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,"CWE-27,CWE-22",XRAY-203039,false,npm://moment:2.19.3,npm://moment,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/moment,Not Applicable
"brace-expansion through 5.0.7 is vulnerable to denial of service via memory exhaustion. The expand() function limits the number of results with a max option (default 100,000) but does not bound the length of each result string. By chaining multiple brace groups, an attacker keeps the result count under the limit while making each result progressively longer, so total memory scales with both count and string length until the process hits a fatal, uncatchable out-of-memory error. About 7.5 KB of input ('{a,b}'.repeat(1500)) crashes a default Node.js process. Any application that passes attacker-influenced strings to brace-expansion.expand() - directly or transitively via minimatch / glob brace patterns - can be crashed by a small request. Fixed in 5.0.8 by adding a maxLength option (default 4,000,000) that bounds accumulated output and intermediate arrays.",CVE-2026-14257,High,High,security,JFrog,brace-expansion,"< 1.1.17,2.0.0 ≤ Version < 2.1.3,3.0.0 ≤ Version < 3.0.3,4.0.0 ≤ Version ≤ 5.0.7","1.1.17,2.1.3,3.0.3,5.0.8",,brace-expansion,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-400,CWE-770",XRAY-1033988,false,npm://brace-expansion:1.1.11,npm://brace-expansion,sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/brace-expansion,Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Prior to 0.32.0 and 1.16.0, Axios’s Node.js HTTP adapter may forward a Proxy-Authorization header to a redirected origin during specific proxy-to-direct redirect flows. This affects Node.js usage, where an initial HTTP request is sent through an authenticated HTTP proxy, redirects are followed, and the redirected URL is no longer proxied. Under affected redirect shapes, the final origin can receive the proxy credential that was intended only for the outbound proxy. This vulnerability is fixed in 0.32.0 and 1.16.0.",CVE-2026-44487,High,Medium,security,JFrog,axios,"≤ 0.31.1,1.0.0 ≤ Version < 1.16.0","0.32.0,1.16.0",,axios,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-201,XRAY-995615,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Prior to 0.32.0 and 1.16.0, Axios’ Node.js HTTP adapter can leak proxy credentials to a redirect target in affected versions. When a request is sent through an authenticated proxy, Axios may add a Proxy-Authorization header. If Axios then follows a redirect and the redirected request is no longer sent through that proxy, the stale Proxy-Authorization header can remain on the redirected request and be sent to the redirect target. This affects Node.js's use of Axios with automatic redirects enabled and an authenticated proxy configuration. Browser adapters are not affected. This vulnerability is fixed in 0.32.0 and 1.16.0.",CVE-2026-44486,High,Medium,security,JFrog,axios,"≤ 0.31.1,1.0.0 ≤ Version < 1.16.0","0.32.0,1.16.0",,axios,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-200,XRAY-995614,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Prior to 0.32.0 and 1.16.0, axios exposes two read-side prototype-pollution gadgets. When Object.prototype is polluted by an upstream dependency in the same process (e.g. lodash _.merge / CVE-2018-16487), axios silently picks up the polluted values. (1) lib/utils.js line 406 builds merge()'s accumulator as result = {}, so result[targetKey] (line 414) walks Object.prototype and the polluted bucket's own keys are copied into the merged headers and ride out on the wire. (2) lib/core/mergeConfig.js line 26 builds the hasOwnProperty descriptor as a plain-object literal. Object.defineProperty reads descriptor.get/descriptor.set via the prototype chain, so a polluted Object.prototype.get or Object.prototype.set makes the call throw TypeError synchronously on every axios request. This vulnerability is fixed in 0.32.0 and 1.16.0.",CVE-2026-44490,High,Medium,security,JFrog,axios,"≤ 0.31.1,1.0.0 ≤ Version < 1.16.0","0.32.0,1.16.0",,axios,,8.2/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,CWE-1321,XRAY-992702,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.4, nested `*()` extglobs produce regexps with nested unbounded quantifiers (e.g. `(?:(?:a|b)*)*`), which exhibit catastrophic backtracking in V8. With a 12-byte pattern `*(*(*(a|b)))` and an 18-byte non-matching input, `minimatch()` stalls for over 7 seconds. Adding a single nesting level or a few input characters pushes this to minutes. This is the most severe finding: it is triggered by the default `minimatch()` API with no special options, and the minimum viable pattern is only 12 bytes. The same issue affects `+()` extglobs equally. Versions 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.4 fix the issue.",CVE-2026-27904,High,Medium,security,JFrog,minimatch,"< 3.1.4,10.0.0 ≤ Version < 10.2.3,4.0.0 ≤ Version < 4.2.5,5.0.0 ≤ Version < 5.1.8,6.0.0 ≤ Version < 6.2.2,7.0.0 ≤ Version < 7.4.8,8.0.0 ≤ Version < 8.0.6,9.0.0 ≤ Version < 9.0.7","10.2.3,3.1.4,4.2.5,5.1.8,6.2.2,7.4.8,8.0.6,9.0.7",,minimatch,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1333,XRAY-947413,false,npm://minimatch:3.1.2,npm://minimatch,"sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/glob/node_modules/minimatch;
sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/minimatch",Not Applicable
"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.3, `matchOne()` performs unbounded recursive backtracking when a glob pattern contains multiple non-adjacent `**` (GLOBSTAR) segments and the input path does not match. The time complexity is O(C(n, k)) -- binomial -- where `n` is the number of path segments and `k` is the number of globstars. With k=11 and n=30, a call to the default `minimatch()` API stalls for roughly 5 seconds. With k=13, it exceeds 15 seconds. No memoization or call budget exists to bound this behavior. Any application where an attacker can influence the glob pattern passed to `minimatch()` is vulnerable. The realistic attack surface includes build tools and task runners that accept user-supplied glob arguments (ESLint, Webpack, Rollup config), multi-tenant systems where one tenant configures glob-based rules that run in a shared process, admin or developer interfaces that accept ignore-rule or filter configuration as globs, and CI/CD pipelines that evaluate user-submitted config files containing glob patterns. An attacker who can place a crafted pattern into any of these paths can stall the Node.js event loop for tens of seconds per invocation. The pattern is 56 bytes for a 5-second stall and does not require authentication in contexts where pattern input is part of the feature. Versions 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.3 fix the issue.",CVE-2026-27903,High,Medium,security,JFrog,minimatch,"10.0.0 ≤ Version < 10.2.3,3.0.0 ≤ Version < 3.1.3,4.0.0 ≤ Version < 4.2.5,5.0.0 ≤ Version < 5.1.8,6.0.0 ≤ Version < 6.2.2,7.0.0 ≤ Version < 7.4.8,8.0.0 ≤ Version < 8.0.6,9.0.0 ≤ Version < 9.0.7","10.2.3,3.1.3,4.2.5,5.1.8,6.2.2,7.4.8,8.0.6,9.0.7",,minimatch,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-407,XRAY-947093,false,npm://minimatch:3.1.2,npm://minimatch,"sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/glob/node_modules/minimatch;
sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/minimatch",Not Applicable
"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Versions 10.2.0 and below are vulnerable to Regular Expression Denial of Service (ReDoS) when a glob pattern contains many consecutive * wildcards followed by a literal character that doesn't appear in the test string. Each * compiles to a separate [^/]*? regex group, and when the match fails, V8's regex engine backtracks exponentially across all possible splits. The time complexity is O(4^N) where N is the number of * characters. With N=15, a single minimatch() call takes ~2 seconds. With N=34, it hangs effectively forever. Any application that passes user-controlled strings to minimatch() as the pattern argument is vulnerable to DoS. This issue has been fixed in version 10.2.1.",CVE-2026-26996,High,Medium,security,JFrog,minimatch,"10.0.0 ≤ Version ≤ 10.2.0,3.0.0 ≤ Version ≤ 3.1.2,4.0.0 ≤ Version ≤ 4.2.3,5.0.0 ≤ Version ≤ 5.1.6,6.0.0 ≤ Version ≤ 6.2.0,7.0.0 ≤ Version ≤ 7.4.6,8.0.0 ≤ Version ≤ 8.0.4,9.0.0 ≤ Version ≤ 9.0.5","10.2.1,3.1.3,4.2.4,5.1.7,6.2.1,7.4.7,8.0.5,9.0.6",,minimatch,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1333,XRAY-944492,false,npm://minimatch:3.1.2,npm://minimatch,"sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/glob/node_modules/minimatch;
sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/minimatch",Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Prior to versions 0.30.3 and 1.13.5, the mergeConfig function in axios crashes with a TypeError when processing configuration objects containing __proto__ as an own property. An attacker can trigger this by providing a malicious configuration object created via JSON.parse(), causing complete denial of service. This vulnerability is fixed in versions 0.30.3 and 1.13.5.",CVE-2026-25639,High,Medium,security,JFrog,axios,"≤ 0.30.2,1.0.0 ≤ Version ≤ 1.13.4","0.30.3,1.13.5",,axios,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-1321,CWE-754",XRAY-941450,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
musl libc 0.9.13 through 1.2.5 before 1.2.6 has an out-of-bounds write vulnerability when an attacker can trigger iconv conversion of untrusted EUC-KR text to UTF-8.,CVE-2025-26519,High,Medium,security,JFrog,alpine:musl-utils,< 1.2.3-r6,1.2.3-r6,,3.17:musl-utils,,7.0/CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-787,XRAY-670912,false,alpine://3.17:musl-utils:1.2.3-r4,alpine://3.17:musl-utils,"sha256__f56be85fc22e46face30e2c3de3f7fe7c15f8fd7c4e5add29d7f64b87abdaa09.tar.gz/3.17:musl:1.2.3-r4;
sha256__f56be85fc22e46face30e2c3de3f7fe7c15f8fd7c4e5add29d7f64b87abdaa09.tar.gz/3.17:musl-utils:1.2.3-r4",Not Applicable
"path-to-regexp turns path strings into a regular expressions. In certain cases, path-to-regexp will output a regular expression that can be exploited to cause poor performance. Because JavaScript is single threaded and regex matching runs on the main thread, poor performance will block the event loop and lead to a DoS. The bad regular expression is generated any time you have two parameters within a single segment, separated by something that is not a period (.). For users of 0.1, upgrade to 0.1.10. All other users should upgrade to 8.0.0.",CVE-2024-45296,High,Medium,security,JFrog,path-to-regexp,"< 0.1.10,0.2.0 ≤ Version < 1.9.0,2.0.0 ≤ Version < 3.3.0,4.0.0 ≤ Version < 6.3.0,7.0.0 ≤ Version < 8.0.0","0.1.10,1.9.0,3.3.0,6.3.0,8.0.0",,path-to-regexp,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1333,XRAY-642520,false,npm://path-to-regexp:0.1.7,npm://path-to-regexp,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/path-to-regexp,Not Applicable
"Issue summary: A bug has been identified in the processing of key and
initialisation vector (IV) lengths.  This can lead to potential truncation
or overruns during the initialisation of some symmetric ciphers.

Impact summary: A truncation in the IV can result in non-uniqueness,
which could result in loss of confidentiality for some cipher modes.

When calling EVP_EncryptInit_ex2(), EVP_DecryptInit_ex2() or
EVP_CipherInit_ex2() the provided OSSL_PARAM array is processed after
the key and IV have been established.  Any alterations to the key length,
via the ""keylen"" parameter or the IV length, via the ""ivlen"" parameter,
within the OSSL_PARAM array will not take effect as intended, potentially
causing truncation or overreading of these values.  The following ciphers
and cipher modes are impacted: RC2, RC4, RC5, CCM, GCM and OCB.

For the CCM, GCM and OCB cipher modes, truncation of the IV can result in
loss of confidentiality.  For example, when following NIST's SP 800-38D
section 8.2.1 guidance for constructing a deterministic IV for AES in
GCM mode, truncation of the counter portion could lead to IV reuse.

Both truncations and overruns of the key and overruns of the IV will
produce incorrect results and could, in some cases, trigger a memory
exception.  However, these issues are not currently assessed as security
critical.

Changing the key and/or IV lengths is not considered to be a common operation
and the vulnerable API was recently introduced. Furthermore it is likely that
application developers will have spotted this problem during testing since
decryption would fail unless both peers in the communication were similarly
vulnerable. For these reasons we expect the probability of an application being
vulnerable to this to be quite low. However if an application is vulnerable then
this issue is considered very serious. For these reasons we have assessed this
issue as Moderate severity overall.

The OpenSSL SSL/TLS implementation is not affected by this issue.

The OpenSSL 3.0 and 3.1 FIPS providers are...",CVE-2023-5363,High,Medium,security,JFrog,alpine:libcrypto3,< 3.0.12-r0,3.0.12-r0,,3.17:libcrypto3,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"CWE-684,NVD-CWE-noinfo",XRAY-534478,false,alpine://3.17:libssl3:3.0.8-r3,alpine://3.17:libcrypto3,"sha256__f56be85fc22e46face30e2c3de3f7fe7c15f8fd7c4e5add29d7f64b87abdaa09.tar.gz/3.17:libssl3:3.0.8-r3;
sha256__f56be85fc22e46face30e2c3de3f7fe7c15f8fd7c4e5add29d7f64b87abdaa09.tar.gz/3.17:libcrypto3:3.0.8-r3",Not Applicable
"Versions `<=8.5.1` of `jsonwebtoken` library could be misconfigured so that legacy, insecure key types are used for signature verification. For example, DSA keys could be used with the RS256 algorithm. You are affected if you are using an algorithm and a key type other than a combination listed in the GitHub Security Advisory as unaffected. This issue has been fixed, please update to version 9.0.0. This version validates for asymmetric key type and algorithm combinations. Please refer to the above mentioned algorithm / key type combinations for the valid secure configuration. After updating to version 9.0.0, if you still intend to continue with signing or verifying tokens using invalid key type/algorithm value combinations, you’ll need to set the `allowInvalidAsymmetricKeyTypes` option  to `true` in the `sign()` and/or `verify()` functions.",CVE-2022-23539,High,Medium,security,JFrog,jsonwebtoken,≤ 8.5.1,9.0.0,2023-03-18T18:08:00Z,jsonwebtoken,,8.1/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,CWE-327,XRAY-412375,false,npm://jsonwebtoken:8.1.0,npm://jsonwebtoken,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/jsonwebtoken,Not Applicable
"In Async before 2.6.4 and 3.x before 3.2.2, a malicious user can obtain privileges via the mapValues() method, aka lib/internal/iterator.js createObjectIterator prototype pollution.",CVE-2021-43138,High,Medium,security,JFrog,async,"2.0.0 ≤ Version < 2.6.4,3.0.0 ≤ Version < 3.2.2","2.6.4,3.2.2",2023-01-08T19:27:00Z,async,6.8/CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,7.8/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CWE-1321,XRAY-203351,false,npm://async:2.1.4,npm://async,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/async,Not Applicable
ansi-regex is vulnerable to Inefficient Regular Expression Complexity,CVE-2021-3807,High,Medium,security,JFrog,ansi-regex,"3.0.0 ≤ Version < 3.0.1,4.0.0 ≤ Version < 4.1.1,5.0.0 ≤ Version < 5.0.1,6.0.0 ≤ Version < 6.0.1","3.0.1,4.1.1,5.0.1,6.0.1",2023-01-08T19:26:00Z,ansi-regex,7.8/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:C,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-697,CWE-1333",XRAY-185075,false,npm://ansi-regex:3.0.0,npm://ansi-regex,"sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/string-width/node_modules/ansi-regex;
sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/yargs/node_modules/ansi-regex",Not Applicable
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,CVE-2021-23337,High,Medium,security,JFrog,lodash,< 4.17.21,4.17.21,2023-01-08T19:30:00Z,lodash,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"CWE-77,CWE-94",XRAY-140575,false,npm://lodash:4.17.4,npm://lodash,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/lodash,Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Axios versions before 0.32.0 on the 0.x line and before 1.16.0 on the 1.x line build a regular expression from the configured XSRF cookie name without escaping regex metacharacters. In standard browser environments, an attacker who can influence the cookie name passed to axios can cause expensive regex backtracking while axios reads document.cookie. The practical impact is client-side availability degradation, such as freezing the affected browser tab while axios prepares a request. The issue does not affect ordinary Node.js HTTP adapter usage, React Native, or web workers, where axios does not read document.cookie. This vulnerability is fixed in 0.32.0 and 1.16.0.",CVE-2026-44496,High,Low,security,JFrog,axios,"≤ 0.31.1,1.0.0 ≤ Version < 1.16.0","0.32.0,1.16.0",,axios,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-1333,CWE-400",XRAY-995619,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Prior to 1.15.1 and 0.31.1, a prototype pollution gadget exists in the Axios HTTP adapter (lib/adapters/http.js) that allows an attacker to inject arbitrary HTTP headers into outgoing requests. The vulnerability exploits duck-type checking of the data payload, where if Object.prototype is polluted with getHeaders, append, pipe, on, once, and Symbol.toStringTag, Axios misidentifies any plain object payload as a FormData instance and calls the attacker-controlled getHeaders() function, merging the returned headers into the outgoing request. The vulnerable code resides exclusively in lib/adapters/http.js. The prototype pollution source does not need to originate from Axios itself — any prototype pollution primitive in any dependency in the application's dependency tree is sufficient to trigger this gadget. This vulnerability is fixed in 1.15.1 and 0.31.1.",CVE-2026-42035,High,Low,security,JFrog,axios,"≤ 0.31.0,1.0.0 ≤ Version < 1.15.1","0.31.1,1.15.1",,axios,,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,"CWE-113,CWE-1321",XRAY-975948,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
"Axios is a promise based HTTP client for the browser and Node.js. Prior to 1.15.1 and 0.31.1, when Object.prototype has been polluted by any co-dependency with keys that axios reads without a hasOwnProperty guard, an attacker can (a) silently intercept and modify every JSON response before the application sees it, or (b) fully hijack the underlying HTTP transport, gaining access to request credentials, headers, and body. The precondition is prototype pollution from a separate source in the same process. This vulnerability is fixed in 1.15.1 and 0.31.1.",CVE-2026-42033,High,Low,security,JFrog,axios,"≤ 0.31.0,1.0.0 ≤ Version < 1.15.1","0.31.1,1.15.1",,axios,,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,CWE-1321,XRAY-975947,false,npm://axios:0.18.0,npm://axios,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/axios,Not Applicable
Async <= 2.6.4 and <= 3.2.5 are vulnerable to ReDoS (Regular Expression Denial of Service) while parsing function in autoinject function. NOTE: this is disputed by the supplier because there is no realistic threat model: regular expressions are not used with untrusted input.,CVE-2024-39249,High,Low,security,JFrog,async,≤ 3.2.5,,,async,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1333,XRAY-609848,false,npm://async:2.1.4,npm://async,sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/async,Not Applicable
"Versions of the package semver before 7.5.2 are vulnerable to Regular Expression Denial of Service (ReDoS) via the function new Range, when untrusted user data is provided as a range.",CVE-2022-25883,High,Low,security,JFrog,semver,"2.0.0-alpha ≤ Version < 5.7.2,6.0.0 ≤ Version < 6.3.1,7.0.0 ≤ Version < 7.5.2","5.7.2,6.3.1,7.5.2",,semver,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1333,XRAY-522313,false,npm://semver:5.7.1,npm://semver,"sha256__7ded2465c61dfe2b42e59390a496788532dfd7a3d1c980d186cd36a9e2133c06.tar.gz/app/node_modules/simple-update-notifier/node_modules/semver;
sha256__8f665685b215c7daf9164545f1bbdd74d800af77d0d267db31fe0345c0c8fb8b.tar.gz/usr/local/lib/node_modules/npm/node_modules/semver",Not Applicable
